"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 12:44:50 IST 2023","Thu Aug 24 12:45:34 IST 2023","43014","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","signua","signua",""
"passed","Thu Aug 24 12:48:33 IST 2023","Thu Aug 24 12:49:01 IST 2023","27175","Surefire suite","Surefire test","skillbox.EventBookTest.FreeEventBookTest","skillbox.EventBookTest.FreeEventBookTest","freeticketbook","freeticketbook",""
"broken","Thu Aug 24 12:45:47 IST 2023","Thu Aug 24 12:46:01 IST 2023","13929","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","signupb","signupb",""
"passed","Thu Aug 24 12:51:20 IST 2023","Thu Aug 24 12:52:06 IST 2023","46373","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","video","video",""
"broken","Thu Aug 24 12:47:25 IST 2023","Thu Aug 24 12:48:25 IST 2023","59854","Surefire suite","Surefire test","skillbox.EventBookTest.AddOnEventBookTest","skillbox.EventBookTest.AddOnEventBookTest","freeticketbook","freeticketbook",""
"passed","Thu Aug 24 13:00:11 IST 2023","Thu Aug 24 13:00:46 IST 2023","34493","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","signupf","signupf",""
"passed","Thu Aug 24 12:46:55 IST 2023","Thu Aug 24 12:47:17 IST 2023","22101","Surefire suite","Surefire test","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","createpromoter","createpromoter",""
"broken","Tue Aug 22 16:29:29 IST 2023","Tue Aug 22 16:29:29 IST 2023","3","Surefire suite","Surefire test","skillbox.PunchSalesTest.PunchSalesTest","skillbox.PunchSalesTest.PunchSalesTest","bcConfig","bcConfig",""
"passed","Thu Aug 24 12:50:30 IST 2023","Thu Aug 24 12:50:42 IST 2023","12196","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","text","text",""
"passed","Thu Aug 24 12:49:12 IST 2023","Thu Aug 24 12:50:23 IST 2023","71329","Surefire suite","Surefire test","skillbox.EventBookTest.PaidEventBookTest","skillbox.EventBookTest.PaidEventBookTest","eventbook","eventbook",""
"passed","Thu Aug 24 12:52:06 IST 2023","Thu Aug 24 12:52:21 IST 2023","15054","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","image","image",""
"broken","Wed Aug 23 15:27:43 IST 2023","Wed Aug 23 15:27:43 IST 2023","4","Default suite","Default test","skillbox.EventBookTest.AddOnEventBookTest","skillbox.EventBookTest.AddOnEventBookTest","bcConfig","bcConfig",""
"passed","Fri Aug 25 12:30:35 IST 2023","Fri Aug 25 12:31:11 IST 2023","35592","Surefire suite","Surefire test","skillbox.PunchSalesTest.PunchSalesTest","skillbox.PunchSalesTest.PunchSalesTest","punchsale","punchsale",""
"passed","Thu Aug 24 12:50:42 IST 2023","Thu Aug 24 12:50:45 IST 2023","2699","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","like","like",""
"passed","Thu Aug 24 12:43:15 IST 2023","Thu Aug 24 12:44:44 IST 2023","89723","Surefire suite","Surefire test","skillbox.CreateDiyTest.CreateDiyTest","skillbox.CreateDiyTest.CreateDiyTest","creatediy","creatediy",""
"passed","Thu Aug 24 12:50:45 IST 2023","Thu Aug 24 12:51:20 IST 2023","35112","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","audio","audio",""
