"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 22 17:15:15 IST 2023","Tue Aug 22 17:15:35 IST 2023","19712","Surefire suite","Surefire test","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","skillbox.CreatePromoterAndWalkin.CreatePromoterAndWalkinTest","createpromoter","createpromoter",""
"passed","Tue Aug 22 17:14:40 IST 2023","Tue Aug 22 17:15:11 IST 2023","30474","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpFanTest","signupf","signupf",""
"passed","Tue Aug 22 17:17:23 IST 2023","Tue Aug 22 17:17:47 IST 2023","24450","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","audio","audio",""
"passed","Wed Aug 23 16:07:33 IST 2023","Wed Aug 23 16:08:31 IST 2023","58466","Default suite","Default test","skillbox.EventBookTest.PaidEventBookTest","skillbox.EventBookTest.PaidEventBookTest","eventbook","eventbook",""
"passed","Tue Aug 22 17:14:01 IST 2023","Tue Aug 22 17:14:35 IST 2023","34398","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpBusinessTest","signupb","signupb",""
"passed","Wed Aug 23 12:20:57 IST 2023","Wed Aug 23 12:21:22 IST 2023","25103","Default suite","Default test","skillbox.EventBookTest.FreeEventBookTest","skillbox.EventBookTest.FreeEventBookTest","freeticketbook","freeticketbook",""
"passed","Tue Aug 22 17:18:13 IST 2023","Tue Aug 22 17:18:27 IST 2023","13628","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","image","image",""
"passed","Tue Aug 22 17:17:47 IST 2023","Tue Aug 22 17:18:13 IST 2023","25779","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","video","video",""
"passed","Wed Aug 23 16:00:51 IST 2023","Wed Aug 23 16:01:36 IST 2023","44908","Default suite","Default test","skillbox.EventBookTest.AddOnEventBookTest","skillbox.EventBookTest.AddOnEventBookTest","freeticketbook","freeticketbook",""
"passed","Tue Aug 22 17:11:58 IST 2023","Tue Aug 22 17:13:17 IST 2023","79452","Surefire suite","Surefire test","skillbox.CreateDiyTest.CreateDiyTest","skillbox.CreateDiyTest.CreateDiyTest","creatediy","creatediy",""
"passed","Tue Aug 22 17:18:31 IST 2023","Tue Aug 22 17:19:05 IST 2023","33919","Surefire suite","Surefire test","skillbox.PunchSalesTest.PunchSalesTest","skillbox.PunchSalesTest.PunchSalesTest","punchsale","punchsale",""
"broken","Wed Aug 23 15:27:43 IST 2023","Wed Aug 23 15:27:43 IST 2023","4","Default suite","Default test","skillbox.EventBookTest.AddOnEventBookTest","skillbox.EventBookTest.AddOnEventBookTest","bcConfig","bcConfig",""
"passed","Tue Aug 22 17:13:21 IST 2023","Tue Aug 22 17:13:57 IST 2023","35487","Surefire suite","Surefire test","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","skillbox.CreateProfileWithProfileCompleteTest.SignUpArtistTest","signua","signua",""
"passed","Tue Aug 22 17:17:11 IST 2023","Tue Aug 22 17:17:20 IST 2023","9194","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","text","text",""
"broken","Tue Aug 22 16:29:29 IST 2023","Tue Aug 22 16:29:29 IST 2023","3","Surefire suite","Surefire test","skillbox.PunchSalesTest.PunchSalesTest","skillbox.PunchSalesTest.PunchSalesTest","bcConfig","bcConfig",""
"passed","Tue Aug 22 17:17:20 IST 2023","Tue Aug 22 17:17:23 IST 2023","2464","Surefire suite","Surefire test","skillbox.FeedsTest.FeedsTest","skillbox.FeedsTest.FeedsTest","like","like",""
